product-id,date-retrieved,vendor,title,price-eur,availability,evaluation,ratingcount
825926,2024-03-22,Huawei,HUAWEI MateBook D 14 (2023) inkl. KIOXIA EXCERIA PLUS 1TB,812.9,Sofort ab Lager / Express,0,0
805541,2024-03-22,Huawei,"HUAWEI MateBook 16s (2023) - Core i9, 16GB+1TB, Win11, Grau",1799.0,Sofort ab Lager/Express,0,0
791187,2024-03-22,Huawei,"HUAWEI MateBook D 15 (2022) - Core i5, 16GB+512GB, Win11, Silber",899.0,Sofort ab Lager/Express,0,0
791175,2024-03-22,Huawei,"HUAWEI MateBook D 14 (2022) - Core i5, 16GB+512GB, Win11, Grau",899.0,Sofort ab Lager/Express,0,0
825922,2024-03-22,Huawei,HUAWEI MateBook D 14 (2023) inkl. Microsoft 365 Family,878.99,Sofort ab Lager/Express,0,0
824342,2024-03-22,Huawei,"HUAWEI MateBook D 16 (2024) - Core i9 13th, 16GB+1TB, Grau",1299.0,Sofort ab Lager/Express,0,0
811405,2024-03-22,Lenovo,Lenovo V15 G4 83FS0026GE,499.0,Sofort ab Lager / Express,5,3
787596,2024-03-22,Lenovo,Lenovo IdeaPad Flex 5 82XX0003GE,629.0,Sofort ab Lager / Express,0,0
813908,2024-03-22,Lenovo,Lenovo IdeaPad 3 Slim 83ES000XGE,549.0,Sofort ab Lager / Express,0,0
768369,2024-03-22,Lenovo,LENOVO V15 G3 82TT004QGE,379.0,Sofort ab Lager / Express,0,0
768376,2024-03-22,Lenovo,LENOVO V17 G3 82U10015GE,549.0,Sofort ab Lager / Express,0,0
813913,2024-03-22,Lenovo,Lenovo IdeaPad 3 Slim 83ER008BGE,529.0,Sofort ab Lager / Express,0,0
799304,2024-03-22,Lenovo,Lenovo V15 G4 82YU00XEGE,499.0,Sofort ab Lager / Express,0,0
813924,2024-03-22,Lenovo,Lenovo IdeaPad 5 Slim 82XD0077GE,679.0,Sofort ab Lager / Express,0,0
813974,2024-03-22,Lenovo,Lenovo IdeaPad 3 Slim 83ER008CGE,479.0,Sofort ab Lager / Express,0,0
822768,2024-03-22,Lenovo,Lenovo ThinkPad E16 Gen1 - 21JN00D5GE,1129.0,Sofort ab Lager / Express,0,0
810618,2024-03-22,MSI,MSI Thin GF63 12UC-667,599.0,Sofort ab Lager / Express,4,40
