date-retrieved,vendor,title,price,availability,evaluation,ratingcount
2024-03-21,Huawei,"HUAWEI MateBook D 16 (2024) - Core i9 13th, 16GB+1TB, Grau","1.299,00 €",Sofort ab Lager / Express,0,0
2024-03-21,Huawei,"HUAWEI MateBook D 15 (2022) - Core i5, 16GB+512GB, Win11, Silber","899,00 €",Sofort ab Lager / Express,0,0
2024-03-21,Huawei,"HUAWEI MateBook D 14 (2022) - Core i5, 16GB+512GB, Win11, Grau","899,00 €",Sofort ab Lager / Express,0,0
2024-03-21,Huawei,"HUAWEI MateBook 16s (2023) - Core i9, 16GB+1TB, Win11, Grau","1.799,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Huawei,"HUAWEI MateBook X Pro (2022) - Core i7, 16GB+1TB, Win11, Blau","2.199,00 €",Sofort ab Lager / Express,0,0
2024-03-21,Huawei,"HUAWEI MateBook D 16 (2024) - Core i5 12th, 8GB+512GB, Grau","799,00 €",Sofort ab Lager / Express,0,0
2024-03-21,Huawei,"HUAWEI MateBook D 14 (2023) - Core i5, 16GB+512GB, Win11, Grau","749,00 €",Sofort ab Lager / Express,0,0
2024-03-21,Lenovo,Lenovo V15 G4 83FS0026GE,"499,00 €",Sofort ab Lager/Express,5,3
2024-03-21,Lenovo,Lenovo IdeaPad 3 Slim 83ES000XGE,"549,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Lenovo,Lenovo IdeaPad Flex 5 82XX0003GE,"629,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Lenovo,LENOVO V15 G3 82TT004QGE,"379,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Lenovo,Lenovo V15 G4 82YU00XEGE,"499,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Lenovo,Lenovo ThinkPad E16 Gen1 - 21JN00D5GE,"1.129,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Lenovo,Lenovo IdeaPad 5 Slim 82XD0077GE,"679,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Lenovo,Lenovo IdeaPad 3 Slim 83ER008BGE,"529,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Lenovo,LENOVO V17 G3 82U10015GE,"549,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Lenovo,LENOVO V15 G3 82TT000VGE,"349,00 €",Sofort ab Lager/Express,0,0
2024-03-21,MSI,MSI Thin GF63 12VF-290,"888,00 €",Sofort ab Lager/Express,4,40
2024-03-21,MSI,MSI Thin GF63 12UC-667,"599,00 €",Sofort ab Lager/Express,4,40
2024-03-21,MSI,MSI Thin GF63 12UC-674,"689,00 €",Sofort ab Lager/Express,4,40
2024-03-21,MSI,MSI Katana 17 B13VFK-1011,"1.249,00 €",Sofort ab Lager/Express,4,71
2024-03-21,MSI,MSI Katana 17 B13VGK-825,"1.499,00 €",Sofort ab Lager/Express,4,71
2024-03-21,MSI,MSI Thin GF63 12VE-030,"799,00 €",Sofort ab Lager,4,40
2024-03-21,MSI,MSI Katana 15 B13VGK-1434,"1.399,00 €",Sofort ab Lager/Express,5,94
2024-03-21,MSI,MSI Bravo 15 B7ED-021,"899,00 €",Sofort ab Lager/Express,0,0
2024-03-21,MSI,MSI Cyborg 15 A12VF-096,"999,00 €",Sofort ab Lager/Express,4,56
2024-03-21,MSI,MSI Creator Z17 HX Studio A14VGT-259,"4.099,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Samsung,SAMSUNG Galaxy Book3 360,"899,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Samsung,SAMSUNG Galaxy Book3 360,"799,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Samsung,SAMSUNG Galaxy Book3 Pro,"999,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Samsung,SAMSUNG Galaxy Book3 Pro 360,"1.599,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Samsung,SAMSUNG Galaxy Book3 360,"999,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Samsung,SAMSUNG Galaxy Book3 360 B-Ware,"835,99 €",Sofort ab Lager/Express,0,0
2024-03-21,Samsung,SAMSUNG Galaxy Book3 Ultra B-Ware,"2.351,02 €",Sofort ab Lager/Express,4,1
2024-03-21,Samsung,SAMSUNG Galaxy Book3 Ultra B-Ware,"2.015,99 €",Sofort ab Lager/Express,4,1
2024-03-21,Samsung,SAMSUNG Galaxy Book3 Pro,"1.599,00 €",Sofort ab Lager,0,0
2024-03-21,Samsung,SAMSUNG Galaxy Book3 360 B-Ware,"797,99 €",Sofort ab Lager/Express,0,0
